row,col,lat,lon,mf_score
493,145,32.83298311188795,-103.97730780034745,0.09827342642492602
494,142,32.832817611071775,-103.97853688373353,0.023895040728030056
494,143,32.83275607356188,-103.97815630797135,0.2194078515680882
494,144,32.83269452972234,-103.9777757554391,0.4844726415184913
494,145,32.83263297955516,-103.9773952261303,0.11441090317202669
495,142,32.83246749072256,-103.97862430140542,0.11260592000427586
495,143,32.832405948985766,-103.978243728635,0.4447792250838149
495,144,32.83234443505803,-103.97786379845193,0.24942350257499227
496,142,32.83211755994616,-103.97871516060582,0.21886794586701905
496,143,32.832055947005195,-103.9783333806965,0.7583208453590161
496,144,32.8319947459231,-103.97795919217754,0.12338490012853526
497,52,32.83728198441412,-104.01317344086662,0.12999186294864046
497,53,32.83722102154695,-104.01279078712061,0.42967208567211224
497,54,32.83716005180393,-104.01240815589227,0.38706792591159345
497,142,32.83176743864804,-103.97880257991207,0.13000732264022033
497,143,32.83170617156244,-103.97842712468031,0.5329421457025205
497,144,32.83164487996083,-103.97805136900666,0.1255709059703712
498,52,32.83693245124719,-104.013264116437,0.3448666263449631
498,53,32.83687133933682,-104.01287896071601,0.5060480816281338
498,54,32.836810306384244,-104.01249531198123,0.6786962222930216
498,55,32.83674932551571,-104.01211270629338,0.23661647697785074
498,142,32.83141750780134,-103.9788934405458,0.19291371963956047
498,143,32.83135595310111,-103.97851287485932,0.4839818216352852
499,52,32.836582714117455,-104.01335126741616,0.38243967207146834
499,53,32.836521742588396,-104.012968618718,0.4485752646055003
499,54,32.836460764184174,-104.01258599253735,0.2870111394550399
499,126,32.83205107823069,-103.9850661172787,0.16810449253738566
499,127,32.8319897895053,-103.98468818653699,0.25377992194671034
499,142,32.83106738555945,-103.97898086148535,0.26454763975764567
499,143,32.831005749486714,-103.97859891280197,0.25248815165409916
500,53,32.83617200052677,-104.0130557736804,0.056303125790241715
500,125,32.8317624770506,-103.98553444497112,0.18606827994835515
500,126,32.83170121639077,-103.98515694684271,0.4012156946543426
500,127,32.83163975494905,-103.98477601573737,0.17024237259545522
501,125,32.83141261933959,-103.98562527327911,0.019520419399831557
501,126,32.83135116003641,-103.98524432186105,0.6997829221768596
501,127,32.831289694360485,-103.98486339374125,0.5419172254577286
502,126,32.83099979847786,-103.98533328081719,0.4123812514832579
502,127,32.8309385236989,-103.9849558097832,0.3914099078377073
503,126,32.83064643822641,-103.98542835786499,0.22329141186066254
503,127,32.83058496442048,-103.98504743443256,0.2780422742770525
507,255,32.82124669205208,-103.93682283417463,-0.015768581680407092
507,256,32.82118420931947,-103.93644150658848,-0.03438472679400988
507,257,32.82112172048631,-103.93606020227178,-0.02808513074363299
508,254,32.82095529296809,-103.93729949631796,0.14425654137657049
508,255,32.82089285214747,-103.93691889460464,0.34828235946822145
508,256,32.82083032477651,-103.93653682161099,0.9511469580414195
508,257,32.82076783153132,-103.9361555191726,0.8451263981125205
508,258,32.8207053065532,-103.93577376309355,0.026624661082363096
509,254,32.82060141753199,-103.93739480829367,0.1645438911199885
509,255,32.82053893207243,-103.93701346117156,1.1093022752839001
509,256,32.820476271589015,-103.93662900512375,1.5387388846865142
509,257,32.820413763274,-103.93624750523648,1.1541123190754778
509,258,32.82035125965777,-103.93586622885843,0.027941390407918563
510,254,32.82024718149812,-103.93748345245724,0.04459080452345791
510,255,32.82018469191109,-103.93710210908252,0.5061055017924362
510,256,32.820122163688886,-103.93672018714028,0.7695981213654743
510,257,32.82005969444225,-103.93633949218474,0.3990064137280559
510,258,32.81999715837512,-103.9359576967963,-0.0004891493264452636
511,144,32.82671030853125,-103.97931557912825,0.43128923316543155
511,255,32.81983048041593,-103.93719131313392,0.0031115518940499375
511,256,32.81976795050822,-103.93680944172341,-0.01932311292876056
511,257,32.81970561755707,-103.93643134191366,0.01875741988888127
512,144,32.82635667915439,-103.97940725941318,0.5560963160373575
512,145,32.82629485917401,-103.97902334111116,0.11434765194179645
512,146,32.82623342640508,-103.97864631869354,0.18606153963313526
512,394,32.810748408398744,-103.88487592088262,0.4678183005717248
513,143,32.82606467000808,-103.97987944319576,0.061411604171075475
513,144,32.826003049232575,-103.97949894072919,0.3576937536668463
